pop_number,name,character,category,product_line,release_year,exclusivity,variant_flags,counts_toward_total,source,source_url,needs_review,notes
839,Miles Morales (Purple Reign Suit),Miles Morales,spider_verse,Pop! Spider-Man: Miles Morales (Gamerverse),,,,false,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg; cardboardconnection listed this row unnumbered; pop_number assigned from the matching funkypriceguide/popshopguide entry; in the funkypriceguide core checklist but not a Peter Parker Spider-Man figure; flip counts_toward_total to false if the shelf stat should be strictly Peter-only"
840,Miles Morales (Programmable Matter Suit) (Levitating) (Glow),Miles Morales,spider_verse,Pop! Spider-Man: Miles Morales (Gamerverse),,GameStop,glow,false,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg; cardboardconnection listed this row unnumbered; pop_number assigned from the matching funkypriceguide/popshopguide entry; in the funkypriceguide core checklist but not a Peter Parker Spider-Man figure; flip counts_toward_total to false if the shelf stat should be strictly Peter-only"
842,Venomized Ironheart,Venomized Ironheart,friends_foes,Pop! Spider-Man: Maximum Venom,,Pop In A Box,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-maximum-venom-checklist/,false,
842,Venomized Ironheart (Chase – Glow),Venomized Ironheart,friends_foes,Pop! Spider-Man: Maximum Venom,,Pop In A Box,chase|glow,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-maximum-venom-checklist/,false,
911,Spider-Man Black & Gold Suit,Spider-Man,peter,Pop! Spider-Man: No Way Home,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
912,Doctor Strange,Doctor Strange,friends_foes,Pop! Spider-Man: No Way Home,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,also listed by: cc
913,Spider-Man Integrated Suit,Spider-Man,peter,Pop! Spider-Man: No Way Home,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
921,Spider-Man Black & Gold Suit (10 inch),Spider-Man,peter,Pop! Spider-Man: No Way Home,,Target,oversized,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,"also listed by: cc, psg"
923,Spider-Man Ungraded Suit,Spider-Man,peter,Pop! Spider-Man: No Way Home,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,true,"also listed by: cc, psg; both popshopguide and cardboardconnection print 'Ungraded Suit'; this is almost certainly a typo for 'Upgraded Suit' - kept as printed"
924,MJ,MJ,friends_foes,Pop! Spider-Man: No Way Home,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
925,Ned,Ned,friends_foes,Pop! Spider-Man: No Way Home,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
932,Spider-Man (Japanese TV Series),Spider-Man,peter,Pop! Marvel,,PX Previews,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,
932,Spider-Man (Japanese TV Series) (Glow Chase),Spider-Man,peter,Pop! Marvel,,PX Previews,chase|glow,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,
939,Gingerbread Spider-Man,Spider-Man,peter,Pop! Marvel,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,
956,Spider-Man,Spider-Man,peter,Pop! Marvel,,Target,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,
961,Doppelganger Spider-Man,Doppelganger Spider-Man,friends_foes,Pop! Marvel,,LA Comic Con,,false,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,true,in the funkypriceguide core checklist but not a Peter Parker Spider-Man figure; flip counts_toward_total to false if the shelf stat should be strictly Peter-only
966,Poison Spider-Man (Glow Chase),Poison Spider-Man,peter,Pop! Marvel,,Entertainment Earth,chase|glow,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,true,in the funkypriceguide core checklist but not a Peter Parker Spider-Man figure; flip counts_toward_total to false if the shelf stat should be strictly Peter-only
970,Miles Morales (Upgraded Suit),Miles Morales,spider_verse,Pop! Spider-Man 2 (Gamerverse),,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
971,Peter Parker (Advanced Suit 2.0),Peter Parker,peter,Pop! Spider-Man 2 (Gamerverse),,,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
972,Venom,Venom,friends_foes,Pop! Spider-Man 2 (Gamerverse),,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
973,Kraven,Kraven,friends_foes,Pop! Spider-Man 2 (Gamerverse),,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
974,Peter Parker (Velocity Suit),Peter Parker,peter,Pop! Spider-Man 2 (Gamerverse),,Entertainment Earth,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
975,Peter Parker (Symbiote Suit),Peter Parker,peter,Pop! Spider-Man 2 (Gamerverse),,Funko Shop,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
976,Miles Morales (Evolved Suit),Miles Morales,spider_verse,Pop! Spider-Man 2 (Gamerverse),,GameStop,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
978,Spider-Man Integrated Suit (10 inch),Spider-Man,peter,Pop! Spider-Man: No Way Home,,Walmart,oversized,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1019,Venom (with Wings) (Pop! Plus),Venom,friends_foes,Pop! Spider-Man 2 (Gamerverse),,Funko Shop,oversized,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
1025,Anti-Venom Suit Peter Parker,Peter Parker,peter,Pop! Spider-Man 2 (Gamerverse),,,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
1026,Scream,Scream,friends_foes,Pop! Spider-Man 2 (Gamerverse),,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
1027,Black Suit Harry Osborn,Harry Osborn,friends_foes,Pop! Spider-Man 2 (Gamerverse),,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
1028,City Sounds Suit Miles Morales,Miles Morales,spider_verse,Pop! Spider-Man 2 (Gamerverse),,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
1029,Advanced Suit 2.0 Symbiote Takeover,Peter Parker,peter,Pop! Spider-Man 2 (Gamerverse),,Hot Topic,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-2-gamerverse-checklist/,false,
1059,Spider-Man 2099,Spider-Man 2099,spider_verse,Pop! Spider-Man (Gamerverse),,SDCC 2022 / Amazon,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-gamerverse-checklist/,false,
1067,Spider-Man Bug Eyes,Spider-Man,peter,Pop! Marvel,2022,Winter Convention 2022,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,
1073,Spider-Man (Masked) (Chase – Glow),Spider-Man,peter,Pop! Spider-Man: No Way Home,,AAA Anime,chase|glow,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: psg
1073,Spider-Man (Unmasked),Spider-Man,peter,Pop! Spider-Man: No Way Home,,AAA Anime,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,also listed by: psg
1090,Spider-Man,Spider-Man,peter,Pop! Spider-Man: Across the Spider-Verse,,Marvel Collector Corps (MCC),,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,true,
1091,Spider-Gwen,Spider-Gwen,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,Marvel Collector Corps (MCC),,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1123,Statue of Liberty,Statue of Liberty,friends_foes,Pop! Spider-Man: No Way Home,,NYCC 2022 / Amazon,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,true,
1136,Spider-Man,Spider-Man,peter,Pop! Marvel,,Amazon,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,true,exclusivity 'Amazon' added from a targeted web lookup (stockx/ebay/pricecharting listings all show #1136 as the Amazon exclusive); funkypriceguide left the field blank. Note #1151 is also an Amazon Spider-Man - check the box number when matching a shelf photo
1151,Spider-Man,Spider-Man,peter,Pop! Marvel,,Amazon,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,
1154,Electro (Glow),Electro,friends_foes,Pop! Spider-Man: No Way Home,,Marvel Collector Corps (MCC),glow,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1155,Friendly Neighborhood Spider-Man (Unmasked),Friendly Neighborhood Spider-Man,peter,Pop! Spider-Man: No Way Home,,Marvel Collector Corps (MCC),,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1157,Spider-Man (Leaping),Spider-Man,peter,Pop! Spider-Man: No Way Home,,,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1158,Friendly Neighborhood Spider-Man (Leaping),Friendly Neighborhood Spider-Man,peter,Pop! Spider-Man: No Way Home,,,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1158,Friendly Neighborhood Spider-Man (Leaping) (Metallic),Friendly Neighborhood Spider-Man,peter,Pop! Spider-Man: No Way Home,,Hot Topic,metallic,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1159,The Amazing Spider-Man,The Amazing Spider-Man,peter,Pop! Spider-Man: No Way Home,,,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,true,
1160,Spider-Man (Finale Suit),Spider-Man,peter,Pop! Spider-Man: No Way Home,,,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1160,Spider-Man (Finale Suit) (Diamond),Spider-Man,peter,Pop! Spider-Man: No Way Home,,Target Con 2023 T-Shirt Bundle,diamond,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1161,MJ (with Box),MJ,friends_foes,Pop! Spider-Man: No Way Home,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1162,Doctor Strange,Doctor Strange,friends_foes,Pop! Spider-Man: No Way Home,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1163,Doc Ock,Doc Ock,friends_foes,Pop! Spider-Man: No Way Home,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1164,Electro (Finale),Electro,friends_foes,Pop! Spider-Man: No Way Home,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1164,Electro (Finale) (Glow),Electro,friends_foes,Pop! Spider-Man: No Way Home,,T-Shirt Bundle,glow,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1165,Green Goblin,Green Goblin,friends_foes,Pop! Spider-Man: No Way Home,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1168,Green Goblin (with Bombs) (Metallic),Green Goblin,friends_foes,Pop! Spider-Man: No Way Home,,BoxLunch,metallic,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1169,Spider-Man (Unmasked),Spider-Man,peter,Pop! Spider-Man: No Way Home,,Funko Shop,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1170,Ned (with Cloak),Ned,friends_foes,Pop! Spider-Man: No Way Home,,Walmart,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
